,date,0
0,2008-01-01 00:00:00,0.0048
1,2008-01-01 01:00:00,0.0072
2,2008-01-01 02:00:00,0.004
3,2008-01-01 03:00:00,0.0039
4,2008-01-01 04:00:00,0.0042
5,2008-01-01 05:00:00,0.004
6,2008-01-01 06:00:00,0.0044
7,2008-01-01 07:00:00,0.0042
8,2008-01-01 08:00:00,0.0086
9,2008-01-01 09:00:00,0.0223
10,2008-01-01 10:00:00,0.0327
11,2008-01-01 11:00:00,0.0409
12,2008-01-01 12:00:00,0.0451
13,2008-01-01 13:00:00,0.0462
14,2008-01-01 14:00:00,0.0498
15,2008-01-01 15:00:00,0.0437
16,2008-01-01 16:00:00,0.0437
17,2008-01-01 17:00:00,0.0407
18,2008-01-01 18:00:00,0.0377
19,2008-01-01 19:00:00,0.0295
20,2008-01-01 20:00:00,0.0259
21,2008-01-01 21:00:00,0.0136
22,2008-01-01 22:00:00,0.0082
23,2008-01-01 23:00:00,0.0039
24,2008-01-02 00:00:00,0.0039
25,2008-01-02 01:00:00,0.004
26,2008-01-02 02:00:00,0.0038
27,2008-01-02 03:00:00,0.0037
28,2008-01-02 04:00:00,0.0041
29,2008-01-02 05:00:00,0.0226
30,2008-01-02 06:00:00,0.0429
31,2008-01-02 07:00:00,0.0422
32,2008-01-02 08:00:00,0.0453
33,2008-01-02 09:00:00,0.0549
34,2008-01-02 10:00:00,0.0577
35,2008-01-02 11:00:00,0.0614
36,2008-01-02 12:00:00,0.0658
37,2008-01-02 13:00:00,0.063
38,2008-01-02 14:00:00,0.0652
39,2008-01-02 15:00:00,0.0649
40,2008-01-02 16:00:00,0.064
41,2008-01-02 17:00:00,0.0608
42,2008-01-02 18:00:00,0.0473
43,2008-01-02 19:00:00,0.0348
44,2008-01-02 20:00:00,0.0276
45,2008-01-02 21:00:00,0.0231
46,2008-01-02 22:00:00,0.0107
47,2008-01-02 23:00:00,0.0042
48,2008-01-03 00:00:00,0.0037
49,2008-01-03 01:00:00,0.004
50,2008-01-03 02:00:00,0.0037
51,2008-01-03 03:00:00,0.0037
52,2008-01-03 04:00:00,0.0037
53,2008-01-03 05:00:00,0.0037
54,2008-01-03 06:00:00,0.0037
55,2008-01-03 07:00:00,0.0037
56,2008-01-03 08:00:00,0.0037
57,2008-01-03 09:00:00,0.0037
58,2008-01-03 10:00:00,0.0037
59,2008-01-03 11:00:00,0.0037
60,2008-01-03 12:00:00,0.0037
61,2008-01-03 13:00:00,0.0037
62,2008-01-03 14:00:00,0.0037
63,2008-01-03 15:00:00,0.0037
64,2008-01-03 16:00:00,0.0037
65,2008-01-03 17:00:00,0.0037
66,2008-01-03 18:00:00,0.0037
67,2008-01-03 19:00:00,0.0037
68,2008-01-03 20:00:00,0.0037
69,2008-01-03 21:00:00,0.0037
70,2008-01-03 22:00:00,0.0037
71,2008-01-03 23:00:00,0.0037
72,2008-01-04 00:00:00,0.003
73,2008-01-04 01:00:00,0.0021
74,2008-01-04 02:00:00,0.0016
75,2008-01-04 03:00:00,0.001
76,2008-01-04 04:00:00,0.001
77,2008-01-04 05:00:00,0.0015
78,2008-01-04 06:00:00,0.0032
79,2008-01-04 07:00:00,0.0068
80,2008-01-04 08:00:00,0.0234
81,2008-01-04 09:00:00,0.0367
82,2008-01-04 10:00:00,0.0477
83,2008-01-04 11:00:00,0.0555
84,2008-01-04 12:00:00,0.0517
85,2008-01-04 13:00:00,0.0536
86,2008-01-04 14:00:00,0.055
87,2008-01-04 15:00:00,0.0525
88,2008-01-04 16:00:00,0.0527
89,2008-01-04 17:00:00,0.0505
90,2008-01-04 18:00:00,0.0395
91,2008-01-04 19:00:00,0.0313
92,2008-01-04 20:00:00,0.0266
93,2008-01-04 21:00:00,0.0198
94,2008-01-04 22:00:00,0.0071
95,2008-01-04 23:00:00,0.003
96,2008-01-05 00:00:00,0.0018
97,2008-01-05 01:00:00,0.0011
98,2008-01-05 02:00:00,0.0009
99,2008-01-05 03:00:00,0.0011
100,2008-01-05 04:00:00,0.0075
101,2008-01-05 05:00:00,0.0429
102,2008-01-05 06:00:00,0.077
103,2008-01-05 07:00:00,0.2499
104,2008-01-05 08:00:00,0.2248
105,2008-01-05 09:00:00,0.0683
106,2008-01-05 10:00:00,0.0552
107,2008-01-05 11:00:00,0.0576
108,2008-01-05 12:00:00,0.0571
109,2008-01-05 13:00:00,0.0545
110,2008-01-05 14:00:00,0.055999999999999994
111,2008-01-05 15:00:00,0.0554
112,2008-01-05 16:00:00,0.0581
113,2008-01-05 17:00:00,0.059000000000000004
114,2008-01-05 18:00:00,0.0461
115,2008-01-05 19:00:00,0.032
116,2008-01-05 20:00:00,0.0201
117,2008-01-05 21:00:00,0.0119
118,2008-01-05 22:00:00,0.0043
119,2008-01-05 23:00:00,0.0027
120,2008-01-06 00:00:00,0.0037
121,2008-01-06 01:00:00,0.0038
122,2008-01-06 02:00:00,0.0037
123,2008-01-06 03:00:00,0.0041
124,2008-01-06 04:00:00,0.0058
125,2008-01-06 05:00:00,0.0524
126,2008-01-06 06:00:00,0.1277
127,2008-01-06 07:00:00,0.3989
128,2008-01-06 08:00:00,0.2704
129,2008-01-06 09:00:00,0.0607
130,2008-01-06 10:00:00,0.0584
131,2008-01-06 11:00:00,0.0566
132,2008-01-06 12:00:00,0.0545
133,2008-01-06 13:00:00,0.0511
134,2008-01-06 14:00:00,0.0542
135,2008-01-06 15:00:00,0.0582
136,2008-01-06 16:00:00,0.0552
137,2008-01-06 17:00:00,0.0554
138,2008-01-06 18:00:00,0.0436
139,2008-01-06 19:00:00,0.0309
140,2008-01-06 20:00:00,0.0212
141,2008-01-06 21:00:00,0.0135
142,2008-01-06 22:00:00,0.0048
143,2008-01-06 23:00:00,0.0038
144,2008-01-07 00:00:00,0.0038
145,2008-01-07 01:00:00,0.0037
146,2008-01-07 02:00:00,0.0037
147,2008-01-07 03:00:00,0.0038
148,2008-01-07 04:00:00,0.0114
149,2008-01-07 05:00:00,0.0571
150,2008-01-07 06:00:00,0.094
151,2008-01-07 07:00:00,0.4122
152,2008-01-07 08:00:00,0.3764
153,2008-01-07 09:00:00,0.11199999999999999
154,2008-01-07 10:00:00,0.0536
155,2008-01-07 11:00:00,0.0569
156,2008-01-07 12:00:00,0.0539
157,2008-01-07 13:00:00,0.0503
158,2008-01-07 14:00:00,0.0506
159,2008-01-07 15:00:00,0.0553
160,2008-01-07 16:00:00,0.055
161,2008-01-07 17:00:00,0.0577
162,2008-01-07 18:00:00,0.0432
163,2008-01-07 19:00:00,0.0322
164,2008-01-07 20:00:00,0.0229
165,2008-01-07 21:00:00,0.0088
166,2008-01-07 22:00:00,0.0043
167,2008-01-07 23:00:00,0.0038
168,2008-01-08 00:00:00,0.0037
169,2008-01-08 01:00:00,0.0038
170,2008-01-08 02:00:00,0.0037
171,2008-01-08 03:00:00,0.0037
172,2008-01-08 04:00:00,0.0087
173,2008-01-08 05:00:00,0.0529
174,2008-01-08 06:00:00,0.1087
